ticker,timestamp,trade_date,sentiment,conviction,status,is_real_judgment,reasoning,current_price,p_3m,chg_3m,p_15m,chg_15m,p_60m,chg_60m,p_3pm,chg_3pm,dir_3m,dir_15m,dir_60m,dir_3pm,score
GESHIP,2026-05-18T10:10:41,2026-05-18,NEUTRAL,NEUTRAL,FALLBACK,False,,1691.2,1688.0,-0.1892,1711.8,1.2181,1698.0,0.4021,1697.4,0.3666,-0.0,0.0,0.0,0.0,
GESHIP,2026-05-18T10:15:41,2026-05-18,NEUTRAL,NEUTRAL,FALLBACK,False,,1691.2,1716.0,1.4664,1702.2,0.6504,1700.4,0.544,1697.4,0.3666,0.0,0.0,0.0,0.0,
GESHIP,2026-05-18T10:20:42,2026-05-18,NEUTRAL,NEUTRAL,FALLBACK,False,,1712.3,1710.5,-0.1051,1696.0,-0.9519,1692.9,-1.133,1697.4,-0.8702,-0.0,-0.0,-0.0,-0.0,
GESHIP,2026-05-18T10:25:42,2026-05-18,NEUTRAL,NEUTRAL,FALLBACK,False,,1711.8,1707.0,-0.2804,1711.6,-0.0117,1687.5,-1.4196,1697.4,-0.8412,-0.0,-0.0,-0.0,-0.0,
GESHIP,2026-05-18T10:30:43,2026-05-18,NEUTRAL,NEUTRAL,FALLBACK,False,,1702.2,1694.3,-0.4641,1707.0,0.282,1682.5,-1.1573,1697.4,-0.282,-0.0,0.0,-0.0,-0.0,
SCI,2026-05-18T10:35:45,2026-05-18,NEUTRAL,NEUTRAL,FALLBACK,False,,343.8,344.4,0.1745,344.9,0.32,348.65,1.4107,343.1,-0.2036,0.0,0.0,0.0,-0.0,
SCI,2026-05-18T10:40:46,2026-05-18,NEUTRAL,NEUTRAL,FALLBACK,False,,344.3,345.55,0.3631,344.8,0.1452,347.65,0.973,343.1,-0.3485,0.0,0.0,0.0,-0.0,
SCI,2026-05-18T10:45:47,2026-05-18,NEUTRAL,NEUTRAL,FALLBACK,False,,345.0,345.0,0.0,348.25,0.942,346.8,0.5217,343.1,-0.5507,0.0,0.0,0.0,-0.0,
RAINBOW,2026-05-18T11:15:49,2026-05-18,NEUTRAL,NEUTRAL,FALLBACK,False,,1347.0,1345.0,-0.1485,1341.4,-0.4157,1342.6,-0.3267,1353.0,0.4454,-0.0,-0.0,-0.0,0.0,
RAINBOW,2026-05-18T11:20:49,2026-05-18,NEUTRAL,NEUTRAL,FALLBACK,False,,1343.8,1340.6,-0.2381,1339.7,-0.3051,1341.0,-0.2084,1353.0,0.6846,-0.0,-0.0,-0.0,0.0,
PINELABS,2026-05-18T12:35:53,2026-05-18,NEUTRAL,NEUTRAL,FALLBACK,False,,154.7,154.77,0.0452,154.4,-0.1939,153.95,-0.4848,153.19,-0.9761,0.0,-0.0,-0.0,-0.0,
PINELABS,2026-05-18T12:40:54,2026-05-18,NEUTRAL,NEUTRAL,FALLBACK,False,,154.21,154.1,-0.0713,153.09,-0.7263,153.84,-0.2399,153.19,-0.6614,-0.0,-0.0,-0.0,-0.0,
RAINBOW,2026-05-18T12:45:55,2026-05-18,NEUTRAL,NEUTRAL,FALLBACK,False,,1351.2,1353.9,0.1998,1354.8,0.2664,1352.0,0.0592,1353.0,0.1332,0.0,0.0,0.0,0.0,
RAINBOW,2026-05-18T12:50:55,2026-05-18,NEUTRAL,NEUTRAL,FALLBACK,False,,1353.7,1354.2,0.0369,1353.0,-0.0517,1351.0,-0.1995,1353.0,-0.0517,0.0,-0.0,-0.0,-0.0,
SHYAMMETL,2026-05-18T14:05:58,2026-05-18,NEUTRAL,NEUTRAL,FALLBACK,False,,888.75,888.0,-0.0844,882.75,-0.6751,886.0,-0.3094,881.8,-0.782,-0.0,-0.0,-0.0,-0.0,
SHYAMMETL,2026-05-18T14:10:59,2026-05-18,NEUTRAL,NEUTRAL,FALLBACK,False,,888.0,885.0,-0.3378,879.55,-0.9516,886.0,-0.2252,881.8,-0.6982,-0.0,-0.0,-0.0,-0.0,
ABFRL,2026-05-18T14:16:01,2026-05-18,NEUTRAL,NEUTRAL,FALLBACK,False,,61.99,61.92,-0.1129,62.09,0.1613,62.02,0.0484,61.98,-0.0161,-0.0,0.0,0.0,-0.0,
ABFRL,2026-05-18T14:21:02,2026-05-18,NEUTRAL,NEUTRAL,FALLBACK,False,,62.2,62.05,-0.2412,62.1,-0.1608,62.04,-0.2572,61.98,-0.3537,-0.0,-0.0,-0.0,-0.0,
INDIACEM,2026-05-18T14:36:04,2026-05-18,NEUTRAL,NEUTRAL,FALLBACK,False,,400.0,400.0,0.0,399.3,-0.175,,,404.9,1.225,0.0,-0.0,,0.0,
INDIACEM,2026-05-18T14:41:04,2026-05-18,NEUTRAL,NEUTRAL,FALLBACK,False,,399.2,400.05,0.2129,404.0,1.2024,,,404.9,1.4279,0.0,0.0,,0.0,
INDIACEM,2026-05-18T14:46:05,2026-05-18,NEUTRAL,NEUTRAL,FALLBACK,False,,400.45,399.95,-0.1249,405.45,1.2486,,,404.9,1.1112,-0.0,0.0,,0.0,
INDIACEM,2026-05-18T14:51:06,2026-05-18,NEUTRAL,NEUTRAL,FALLBACK,False,,399.3,402.15,0.7137,404.0,1.1771,,,404.9,1.4025,0.0,0.0,,0.0,
INDIACEM,2026-05-18T14:56:07,2026-05-18,NEUTRAL,NEUTRAL,FALLBACK,False,,404.0,403.65,-0.0866,403.85,-0.0371,,,404.9,0.2228,-0.0,-0.0,,0.0,
INDIACEM,2026-05-18T15:01:07,2026-05-18,NEUTRAL,NEUTRAL,FALLBACK,False,,405.45,404.45,-0.2466,404.15,-0.3206,,,404.9,-0.1357,-0.0,-0.0,,-0.0,
INDIACEM,2026-05-18T15:06:08,2026-05-18,NEUTRAL,NEUTRAL,FALLBACK,False,,404.0,403.6,-0.099,403.85,-0.0371,,,404.9,0.2228,-0.0,-0.0,,0.0,
INDIACEM,2026-05-18T15:11:08,2026-05-18,NEUTRAL,NEUTRAL,FALLBACK,False,,403.85,403.95,0.0248,402.25,-0.3962,,,404.9,0.26,0.0,-0.0,,0.0,
INDIACEM,2026-05-18T15:16:09,2026-05-18,NEUTRAL,NEUTRAL,FALLBACK,False,,404.15,403.7,-0.1113,,,,,404.9,0.1856,-0.0,,,0.0,
INDIACEM,2026-05-18T15:21:09,2026-05-18,NEUTRAL,NEUTRAL,FALLBACK,False,,403.85,402.9,-0.2352,,,,,404.9,0.26,-0.0,,,0.0,
INDIACEM,2026-05-18T15:26:10,2026-05-18,NEUTRAL,NEUTRAL,FALLBACK,False,,402.25,400.5,-0.4351,,,,,404.9,0.6588,-0.0,,,0.0,
TEJASNET,2026-05-19T09:35:37,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,458.45,460.15,0.3708,457.85,-0.1309,462.65,0.9161,456.3,-0.469,0.0,-0.0,0.0,-0.0,
TEJASNET,2026-05-19T09:40:37,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,462.45,460.05,-0.519,459.5,-0.6379,463.0,0.1189,456.3,-1.3299,-0.0,-0.0,0.0,-0.0,
FIRSTCRY,2026-05-19T09:45:39,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,235.5,235.51,0.0042,237.11,0.6837,228.83,-2.8323,223.76,-4.9851,0.0,0.0,-0.0,-0.0,
FIRSTCRY,2026-05-19T09:50:39,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,234.85,236.01,0.4939,231.5,-1.4264,229.09,-2.4526,223.76,-4.7222,0.0,-0.0,-0.0,-0.0,
DEEPAKFERT,2026-05-19T09:55:40,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,1345.0,1341.0,-0.2974,1340.0,-0.3717,1328.7,-1.2119,1320.9,-1.7918,-0.0,-0.0,-0.0,-0.0,
DEEPAKFERT,2026-05-19T10:00:41,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,1336.5,1341.0,0.3367,1337.0,0.0374,1328.4,-0.6061,1320.9,-1.1672,0.0,0.0,-0.0,-0.0,
DEEPAKFERT,2026-05-19T10:05:42,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,1345.6,1343.1,-0.1858,1334.2,-0.8472,1324.0,-1.6052,1320.9,-1.8356,-0.0,-0.0,-0.0,-0.0,
DEEPAKFERT,2026-05-19T10:10:42,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,1340.0,1338.3,-0.1269,1335.0,-0.3731,1324.6,-1.1493,1320.9,-1.4254,-0.0,-0.0,-0.0,-0.0,
KPIL,2026-05-19T10:15:45,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,1276.8,1268.7,-0.6344,1267.9,-0.6971,1266.2,-0.8302,1251.4,-1.9893,-0.0,-0.0,-0.0,-0.0,
KPIL,2026-05-19T10:20:45,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,1271.0,1267.9,-0.2439,1267.2,-0.299,1261.8,-0.7238,1251.4,-1.5421,-0.0,-0.0,-0.0,-0.0,
SUMICHEM,2026-05-19T10:25:47,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,473.0,472.25,-0.1586,471.8,-0.2537,469.7,-0.6977,468.5,-0.9514,-0.0,-0.0,-0.0,-0.0,
SUMICHEM,2026-05-19T10:30:48,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,471.25,469.7,-0.3289,470.0,-0.2653,469.6,-0.3501,468.5,-0.5836,-0.0,-0.0,-0.0,-0.0,
SUMICHEM,2026-05-19T10:35:48,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,470.0,471.3,0.2766,470.0,0.0,471.45,0.3085,468.5,-0.3191,0.0,0.0,0.0,-0.0,
SUMICHEM,2026-05-19T10:40:49,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,471.8,470.0,-0.3815,469.45,-0.4981,471.2,-0.1272,468.5,-0.6994,-0.0,-0.0,-0.0,-0.0,
SUMICHEM,2026-05-19T10:45:49,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,470.0,469.9,-0.0213,469.7,-0.0638,470.35,0.0745,468.5,-0.3191,-0.0,-0.0,0.0,-0.0,
SUMICHEM,2026-05-19T10:50:50,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,470.0,469.45,-0.117,471.8,0.383,469.75,-0.0532,468.5,-0.3191,-0.0,0.0,-0.0,-0.0,
SUMICHEM,2026-05-19T10:55:51,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,469.45,469.85,0.0852,470.0,0.1172,469.8,0.0746,468.5,-0.2024,0.0,0.0,0.0,-0.0,
SUMICHEM,2026-05-19T11:00:51,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,469.7,469.7,0.0,469.5,-0.0426,469.9,0.0426,468.5,-0.2555,0.0,-0.0,0.0,-0.0,
SUMICHEM,2026-05-19T11:05:52,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,471.8,471.45,-0.0742,469.4,-0.5087,469.85,-0.4133,468.5,-0.6994,-0.0,-0.0,-0.0,-0.0,
SUMICHEM,2026-05-19T11:10:52,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,470.0,469.8,-0.0426,469.7,-0.0638,469.85,-0.0319,468.5,-0.3191,-0.0,-0.0,-0.0,-0.0,
SUMICHEM,2026-05-19T11:15:53,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,469.5,469.0,-0.1065,469.6,0.0213,469.8,0.0639,468.5,-0.213,-0.0,0.0,0.0,-0.0,
SUMICHEM,2026-05-19T11:20:53,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,469.4,469.85,0.0959,471.45,0.4367,469.55,0.032,468.5,-0.1917,0.0,0.0,0.0,-0.0,
SUMICHEM,2026-05-19T11:25:54,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,469.7,469.75,0.0106,471.2,0.3194,469.9,0.0426,468.5,-0.2555,0.0,0.0,0.0,-0.0,
SUMICHEM,2026-05-19T11:30:55,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,469.6,469.65,0.0106,470.35,0.1597,469.95,0.0745,468.5,-0.2342,0.0,0.0,0.0,-0.0,
SUMICHEM,2026-05-19T11:35:55,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,471.45,471.2,-0.053,469.75,-0.3606,470.0,-0.3076,468.5,-0.6257,-0.0,-0.0,-0.0,-0.0,
SUMICHEM,2026-05-19T11:40:56,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,471.2,470.75,-0.0955,469.8,-0.2971,470.0,-0.2547,468.5,-0.573,-0.0,-0.0,-0.0,-0.0,
SUMICHEM,2026-05-19T11:45:57,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,470.35,470.0,-0.0744,469.9,-0.0957,470.0,-0.0744,468.5,-0.3933,-0.0,-0.0,-0.0,-0.0,
SUMICHEM,2026-05-19T11:50:57,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,469.75,470.0,0.0532,469.85,0.0213,470.0,0.0532,468.5,-0.2661,0.0,0.0,0.0,-0.0,
SUMICHEM,2026-05-19T11:55:58,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,469.8,469.75,-0.0106,469.85,0.0106,470.15,0.0745,468.5,-0.2767,-0.0,0.0,0.0,-0.0,
SUMICHEM,2026-05-19T12:00:58,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,469.9,470.0,0.0213,469.8,-0.0213,469.95,0.0106,468.5,-0.2979,0.0,-0.0,0.0,-0.0,
SUMICHEM,2026-05-19T12:05:59,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,469.85,469.8,-0.0106,469.55,-0.0639,469.95,0.0213,468.5,-0.2873,-0.0,-0.0,0.0,-0.0,
SUMICHEM,2026-05-19T12:11:00,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,469.85,469.85,0.0,469.85,0.0,470.0,0.0319,468.5,-0.2873,0.0,0.0,0.0,-0.0,
SUMICHEM,2026-05-19T12:16:00,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,469.8,469.2,-0.1277,470.0,0.0426,470.0,0.0426,468.5,-0.2767,-0.0,0.0,0.0,-0.0,
SUMICHEM,2026-05-19T12:21:01,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,469.85,469.9,0.0106,470.0,0.0319,470.0,0.0319,468.5,-0.2873,0.0,0.0,0.0,-0.0,
SUMICHEM,2026-05-19T12:26:02,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,469.85,470.0,0.0319,470.0,0.0319,470.0,0.0319,468.5,-0.2873,0.0,0.0,0.0,-0.0,
SUMICHEM,2026-05-19T12:31:02,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,470.0,470.0,0.0,470.0,0.0,473.75,0.7979,468.5,-0.3191,0.0,0.0,0.0,-0.0,
SUMICHEM,2026-05-19T12:36:03,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,470.0,470.0,0.0,470.0,0.0,469.75,-0.0532,468.5,-0.3191,0.0,0.0,-0.0,-0.0,
SUMICHEM,2026-05-19T12:41:04,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,470.0,470.0,0.0,470.0,0.0,469.85,-0.0319,468.5,-0.3191,0.0,0.0,-0.0,-0.0,
SUMICHEM,2026-05-19T12:46:04,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,470.0,470.0,0.0,470.0,0.0,470.0,0.0,468.5,-0.3191,0.0,0.0,0.0,-0.0,
SUMICHEM,2026-05-19T12:51:05,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,470.0,470.0,0.0,470.0,0.0,470.0,0.0,468.5,-0.3191,0.0,0.0,0.0,-0.0,
SUMICHEM,2026-05-19T12:56:05,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,470.0,469.7,-0.0638,470.0,0.0,470.0,0.0,468.5,-0.3191,-0.0,0.0,0.0,-0.0,
SUMICHEM,2026-05-19T13:01:06,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,470.0,470.0,0.0,470.0,0.0,470.0,0.0,468.5,-0.3191,0.0,0.0,0.0,-0.0,
SUMICHEM,2026-05-19T13:06:06,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,470.0,469.8,-0.0426,470.0,0.0,469.95,-0.0106,468.5,-0.3191,-0.0,0.0,-0.0,-0.0,
SUMICHEM,2026-05-19T13:11:07,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,470.0,469.8,-0.0426,470.0,0.0,470.0,0.0,468.5,-0.3191,-0.0,0.0,0.0,-0.0,
SUMICHEM,2026-05-19T13:16:07,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,470.0,470.0,0.0,473.75,0.7979,470.0,0.0,468.5,-0.3191,0.0,0.0,0.0,-0.0,
SUMICHEM,2026-05-19T13:21:08,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,470.0,470.3,0.0638,469.75,-0.0532,469.95,-0.0106,468.5,-0.3191,0.0,-0.0,-0.0,-0.0,
SUMICHEM,2026-05-19T13:26:08,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,470.0,470.0,0.0,469.85,-0.0319,470.0,0.0,468.5,-0.3191,0.0,-0.0,0.0,-0.0,
SUMICHEM,2026-05-19T13:31:08,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,473.75,470.0,-0.7916,470.0,-0.7916,469.85,-0.8232,468.5,-1.1082,-0.0,-0.0,-0.0,-0.0,
SUMICHEM,2026-05-19T13:36:09,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,469.75,470.0,0.0532,470.0,0.0532,469.3,-0.0958,468.5,-0.2661,0.0,0.0,-0.0,-0.0,
SUMICHEM,2026-05-19T13:41:10,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,469.85,470.0,0.0319,470.0,0.0319,469.05,-0.1703,468.5,-0.2873,0.0,0.0,-0.0,-0.0,
SUMICHEM,2026-05-19T13:46:10,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,470.0,470.0,0.0,470.0,0.0,469.45,-0.117,468.5,-0.3191,0.0,0.0,-0.0,-0.0,
SUMICHEM,2026-05-19T13:51:10,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,470.0,469.95,-0.0106,469.95,-0.0106,468.75,-0.266,468.5,-0.3191,-0.0,-0.0,-0.0,-0.0,
SUMICHEM,2026-05-19T13:56:11,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,470.0,469.8,-0.0426,470.0,0.0,468.8,-0.2553,468.5,-0.3191,-0.0,0.0,-0.0,-0.0,
VTL,2026-05-19T14:01:13,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,610.85,610.0,-0.1392,612.0,0.1883,614.55,0.6057,614.35,0.573,-0.0,0.0,0.0,0.0,
VTL,2026-05-19T14:06:14,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,611.7,612.7,0.1635,612.5,0.1308,614.0,0.376,614.35,0.4332,0.0,0.0,0.0,0.0,
ACMESOLAR,2026-05-19T14:11:15,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,280.0,280.0,0.0,280.0,0.0,283.65,1.3036,282.15,0.7679,0.0,0.0,0.0,0.0,
ACMESOLAR,2026-05-19T14:16:16,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,280.0,280.0,0.0,280.0,0.0,282.2,0.7857,282.15,0.7679,0.0,0.0,0.0,0.0,
PARADEEP,2026-05-19T14:21:18,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,124.05,123.94,-0.0887,123.82,-0.1854,124.06,0.0081,124.06,0.0081,-0.0,-0.0,0.0,0.0,
PARADEEP,2026-05-19T14:26:19,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,123.96,124.0,0.0323,123.91,-0.0403,124.04,0.0645,124.06,0.0807,0.0,-0.0,0.0,0.0,
PARADEEP,2026-05-19T14:31:20,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,123.91,123.95,0.0323,123.8,-0.0888,,,124.06,0.1211,0.0,-0.0,,0.0,
PARADEEP,2026-05-19T14:36:20,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,123.82,123.82,0.0,123.8,-0.0162,,,124.06,0.1938,0.0,-0.0,,0.0,
PARADEEP,2026-05-19T14:41:21,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,123.91,123.83,-0.0646,124.15,0.1937,,,124.06,0.1211,-0.0,0.0,,0.0,
PARADEEP,2026-05-19T14:46:22,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,123.8,123.75,-0.0404,124.13,0.2666,,,124.06,0.21,-0.0,0.0,,0.0,
PARADEEP,2026-05-19T14:51:22,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,123.8,124.01,0.1696,124.0,0.1616,,,124.06,0.21,0.0,0.0,,0.0,
PARADEEP,2026-05-19T14:56:23,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,124.15,124.19,0.0322,123.98,-0.1369,,,124.06,-0.0725,0.0,-0.0,,-0.0,
PARADEEP,2026-05-19T15:01:24,2026-05-19,NEUTRAL,NEUTRAL,FALLBACK,False,,124.13,123.9,-0.1853,124.0,-0.1047,,,124.06,-0.0564,-0.0,-0.0,,-0.0,
BLS,2026-05-20T09:35:28,2026-05-20,NEUTRAL,NEUTRAL,FALLBACK,False,,283.8,284.0,0.0705,282.75,-0.37,277.65,-2.167,269.4,-5.074,0.0,-0.0,-0.0,-0.0,
BLS,2026-05-20T09:40:28,2026-05-20,NEUTRAL,NEUTRAL,FALLBACK,False,,283.6,284.75,0.4055,282.45,-0.4055,276.45,-2.5212,269.4,-5.0071,0.0,-0.0,-0.0,-0.0,
GPIL,2026-05-20T09:45:30,2026-05-20,NEUTRAL,NEUTRAL,FALLBACK,False,,304.4,303.0,-0.4599,301.4,-0.9855,303.3,-0.3614,307.45,1.002,-0.0,-0.0,-0.0,0.0,
GPIL,2026-05-20T09:50:31,2026-05-20,NEUTRAL,NEUTRAL,FALLBACK,False,,303.85,303.75,-0.0329,301.7,-0.7076,305.6,0.5759,307.45,1.1848,-0.0,-0.0,0.0,0.0,
PCBL,2026-05-20T09:55:32,2026-05-20,NEUTRAL,NEUTRAL,FALLBACK,False,,296.35,295.25,-0.3712,296.7,0.1181,298.6,0.7592,290.0,-2.1427,-0.0,0.0,0.0,-0.0,
PCBL,2026-05-20T10:00:33,2026-05-20,NEUTRAL,NEUTRAL,FALLBACK,False,,293.9,294.45,0.1871,292.1,-0.6125,298.8,1.6672,290.0,-1.327,0.0,-0.0,0.0,-0.0,
PCBL,2026-05-20T10:05:34,2026-05-20,NEUTRAL,NEUTRAL,FALLBACK,False,,297.85,297.15,-0.235,290.5,-2.4677,297.8,-0.0168,290.0,-2.6356,-0.0,-0.0,-0.0,-0.0,
PCBL,2026-05-20T10:10:35,2026-05-20,NEUTRAL,NEUTRAL,FALLBACK,False,,296.7,292.25,-1.4998,293.3,-1.1459,296.9,0.0674,290.0,-2.2582,-0.0,-0.0,0.0,-0.0,
PCBL,2026-05-20T10:15:35,2026-05-20,NEUTRAL,NEUTRAL,FALLBACK,False,,292.1,290.9,-0.4108,292.25,0.0514,297.85,1.9685,290.0,-0.7189,-0.0,0.0,0.0,-0.0,
PCBL,2026-05-20T10:20:36,2026-05-20,NEUTRAL,NEUTRAL,FALLBACK,False,,290.5,292.5,0.6885,292.65,0.7401,296.95,2.2203,290.0,-0.1721,0.0,0.0,0.0,-0.0,
CCL,2026-05-20T10:35:37,2026-05-20,NEUTRAL,NEUTRAL,FALLBACK,False,,1105.0,1105.0,0.0,1107.8,0.2534,1105.5,0.0452,1095.9,-0.8235,0.0,0.0,0.0,-0.0,
CCL,2026-05-20T10:40:38,2026-05-20,NEUTRAL,NEUTRAL,FALLBACK,False,,1105.5,1105.0,-0.0452,1106.2,0.0633,1106.0,0.0452,1095.9,-0.8684,-0.0,0.0,0.0,-0.0,
AADHARHFC,2026-05-20T10:45:39,2026-05-20,NEUTRAL,NEUTRAL,FALLBACK,False,,476.0,476.6,0.1261,477.05,0.2206,483.4,1.5546,479.9,0.8193,0.0,0.0,0.0,0.0,
AADHARHFC,2026-05-20T10:50:40,2026-05-20,NEUTRAL,NEUTRAL,FALLBACK,False,,476.45,476.1,-0.0735,477.25,0.1679,482.05,1.1754,479.9,0.7241,-0.0,0.0,0.0,0.0,
